synergy_id,reason,details
54b3d96a3ad33bf4a9d7c72e,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '54b3d96a3ad33bf4a9d7c72e', 'UTC Date': '2015-01-10T02:00:00Z', 'Game Name': 'MountRoyal@FraserValley', 'Home Team': 'Fraser Valley Cascades', 'Away Team': 'Mount Royal Cougars '}"
54b237c33ad33bf4a9d7c348,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '54b237c33ad33bf4a9d7c348', 'UTC Date': '2015-01-10T01:00:00Z', 'Game Name': 'UBC@Lethbridge', 'Home Team': 'Lethbridge Pronghorns', 'Away Team': 'British Columbia Thunderbirds'}"
54b1f4343ad33bf4a9d7c324,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '54b1f4343ad33bf4a9d7c324', 'UTC Date': '2015-01-09T23:00:00Z', 'Game Name': 'UBCOkaganan@ThompsonRivers', 'Home Team': 'Thompson Rivers University Wolfpack', 'Away Team': 'British Columbia - Okanagan '}"
59eba4e644b2b8aa7e7d5571,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '59eba4e644b2b8aa7e7d5571', 'UTC Date': '2015-01-04T20:00:00Z', 'Game Name': 'Calgary@CarrollCollege(MT)', 'Home Team': 'Carroll (MT) Saints', 'Away Team': 'Calgary Dinos'}"
54a9d1d03ad33bf4a9d7b244,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '54a9d1d03ad33bf4a9d7b244', 'UTC Date': '2015-01-04T00:30:00Z', 'Game Name': 'Calgary@MontanaTech', 'Home Team': 'Montana Tech Diggers', 'Away Team': 'Calgary Dinos'}"
54a801473ad33bf4a9d7ac0c,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '54a801473ad33bf4a9d7ac0c', 'UTC Date': '2015-01-03T00:00:00Z', 'Game Name': 'York@KansasWesleyanUniversity', 'Home Team': 'Kansas Wesleyan Coyotes', 'Away Team': 'York (ONT) Lions'}"
54a5044a3ad33bf4a9d7a566,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '54a5044a3ad33bf4a9d7a566', 'UTC Date': '2014-12-30T22:30:00Z', 'Game Name': 'Victoria@Biola', 'Home Team': 'Biola Eagles', 'Away Team': 'Victoria Vikes'}"
54ac107b3ad33bf4a9d7b6b5,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '54ac107b3ad33bf4a9d7b6b5', 'UTC Date': '2014-12-30T17:30:00Z', 'Game Name': 'FloridaMemorial@UniversityQuebecMontreal', 'Home Team': 'University Quebec - Montreal', 'Away Team': 'Florida Memorial Lions'}"
54a2e0553ad33bf4a9d7a097,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '54a2e0553ad33bf4a9d7a097', 'UTC Date': '2014-12-30T02:30:00Z', 'Game Name': 'Victoria@Vanguard', 'Home Team': 'Vanguard Lions', 'Away Team': 'Victoria Vikes'}"
54a2902c3ad33bf4a9d79fc2,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '54a2902c3ad33bf4a9d79fc2', 'UTC Date': '2014-12-29T21:30:00Z', 'Game Name': 'UniversityQuebecMontreal@SaintThomasUniversity(FL)', 'Home Team': 'St. Thomas (FL) Bobcats', 'Away Team': 'University Quebec - Montreal'}"
54839d3e3ad33bf4a9d76ece,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '54839d3e3ad33bf4a9d76ece', 'UTC Date': '2014-12-06T01:00:00Z', 'Game Name': 'Calgary@Alberta', 'Home Team': 'Alberta Pandas', 'Away Team': 'Calgary Dinos'}"
547d972f3ad33bf4a9d75f70,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '547d972f3ad33bf4a9d75f70', 'UTC Date': '2014-11-30T01:00:00Z', 'Game Name': 'Alberta@Victoria', 'Home Team': 'Victoria Vikes', 'Away Team': 'Alberta Pandas'}"
547df74c3ad33bf4a9d76074,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '547df74c3ad33bf4a9d76074', 'UTC Date': '2014-11-30T01:00:00Z', 'Game Name': 'MacEwan@FraserValley', 'Home Team': 'Fraser Valley Cascades', 'Away Team': 'MacEwan University Griffins'}"
547f763e3ad33bf4a9d7656c,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '547f763e3ad33bf4a9d7656c', 'UTC Date': '2014-11-30T01:00:00Z', 'Game Name': 'UBCOkaganan@UNBC', 'Home Team': 'Northern British Columbia Timberwolves', 'Away Team': 'British Columbia - Okanagan '}"
547df5db3ad33bf4a9d76072,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '547df5db3ad33bf4a9d76072', 'UTC Date': '2014-11-30T00:00:00Z', 'Game Name': 'TrinityWestern@Calgary', 'Home Team': 'Calgary Dinos', 'Away Team': 'Trinity Western Spartans'}"
547c63f53ad33bf4a9d75ae9,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '547c63f53ad33bf4a9d75ae9', 'UTC Date': '2014-11-29T23:00:00Z', 'Game Name': 'Lethbridge@Manitoba', 'Home Team': 'Manitoba Bisons', 'Away Team': 'Lethbridge Pronghorns'}"
54802d543ad33bf4a9d766cf,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '54802d543ad33bf4a9d766cf', 'UTC Date': '2014-11-29T23:00:00Z', 'Game Name': 'ThompsonRivers@MountRoyal', 'Home Team': 'Mount Royal Cougars ', 'Away Team': 'Thompson Rivers University Wolfpack'}"
547c5da93ad33bf4a9d75adb,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '547c5da93ad33bf4a9d75adb', 'UTC Date': '2014-11-29T02:00:00Z', 'Game Name': 'UBCOkaganan@UNBC', 'Home Team': 'Northern British Columbia Timberwolves', 'Away Team': 'British Columbia - Okanagan '}"
547adddb3ad33bf4a9d75740,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '547adddb3ad33bf4a9d75740', 'UTC Date': '2014-11-29T01:00:00Z', 'Game Name': 'TrinityWestern@Calgary', 'Home Team': 'Calgary Dinos', 'Away Team': 'Trinity Western Spartans'}"
547c44cc3ad33bf4a9d75aae,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '547c44cc3ad33bf4a9d75aae', 'UTC Date': '2014-11-29T00:00:00Z', 'Game Name': 'Lethbridge@Manitoba', 'Home Team': 'Manitoba Bisons', 'Away Team': 'Lethbridge Pronghorns'}"
547a38513ad33bf4a9d75513,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '547a38513ad33bf4a9d75513', 'UTC Date': '2014-11-28T23:00:00Z', 'Game Name': 'ThompsonRivers@MountRoyal', 'Home Team': 'Mount Royal Cougars ', 'Away Team': 'Thompson Rivers University Wolfpack'}"
5472f60d3ad33bf4a9d73d26,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '5472f60d3ad33bf4a9d73d26', 'UTC Date': '2014-11-23T01:00:00Z', 'Game Name': 'MountRoyal@UNBC', 'Home Team': 'Northern British Columbia Timberwolves', 'Away Team': 'Mount Royal Cougars '}"
54751f4f3ad33bf4a9d747a3,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '54751f4f3ad33bf4a9d747a3', 'UTC Date': '2014-11-23T01:00:00Z', 'Game Name': 'MacEwan@UBCOkaganan', 'Home Team': 'British Columbia - Okanagan ', 'Away Team': 'MacEwan University Griffins'}"
547264f33ad33bf4a9d73bc6,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '547264f33ad33bf4a9d73bc6', 'UTC Date': '2014-11-23T00:15:00Z', 'Game Name': 'Victoria@Saskatchewan', 'Home Team': 'Saskatchewan Huskies', 'Away Team': 'Victoria Vikes'}"
547342463ad33bf4a9d73dd8,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '547342463ad33bf4a9d73dd8', 'UTC Date': '2014-11-23T00:00:00Z', 'Game Name': 'Regina(Canada)@Lethbridge', 'Home Team': 'Lethbridge Pronghorns', 'Away Team': 'Regina (Canada) Cougars'}"
54737f273ad33bf4a9d73f27,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '54737f273ad33bf4a9d73f27', 'UTC Date': '2014-11-23T00:00:00Z', 'Game Name': 'Manitoba@Calgary', 'Home Team': 'Calgary Dinos', 'Away Team': 'Manitoba Bisons'}"
5472254a3ad33bf4a9d73aa1,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '5472254a3ad33bf4a9d73aa1', 'UTC Date': '2014-11-22T20:00:00Z', 'Game Name': 'York@KansasWesleyanUniversity', 'Home Team': 'Kansas Wesleyan Coyotes', 'Away Team': 'York (ONT) Lions'}"
54733af23ad33bf4a9d73db4,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '54733af23ad33bf4a9d73db4', 'UTC Date': '2014-11-22T02:00:00Z', 'Game Name': 'MountRoyal@UNBC', 'Home Team': 'Northern British Columbia Timberwolves', 'Away Team': 'Mount Royal Cougars '}"
5474cb9c3ad33bf4a9d74537,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '5474cb9c3ad33bf4a9d74537', 'UTC Date': '2014-11-22T02:00:00Z', 'Game Name': 'MacEwan@UBCOkaganan', 'Home Team': 'British Columbia - Okanagan ', 'Away Team': 'MacEwan University Griffins'}"
547345953ad33bf4a9d73ddd,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '547345953ad33bf4a9d73ddd', 'UTC Date': '2014-11-22T01:00:00Z', 'Game Name': 'Manitoba@Calgary', 'Home Team': 'Calgary Dinos', 'Away Team': 'Manitoba Bisons'}"
5469cb303ad33bf4a9d71e9f,Team name not found in lookup,"{'Season': '2014-2015', 'Game ID': '5469cb303ad33bf4a9d71e9f', 'UTC Date': '2014-11-16T01:00:00Z', 'Game Name': 'UBCOkaganan@MountRoyal', 'Home Team': 'Mount Royal Cougars ', 'Away Team': 'British Columbia - Okanagan '}"
5469ed563ad33bf4a9d71f72,No matching game found in database,"{'Season': '2014-2015', 'Game ID': '5469ed563ad33bf4a9d71f72', 'UTC Date': '2014-11-16T01:00:00Z', 'Game Name': 'Lethbridge@TrinityWestern', 'Home Team': 'Trinity Western Spartans', 'Away Team': 'Lethbridge Pronghorns'}"
