Season,GameID,UTCDate,GameName,Team1_FullName,Team2_FullName,GameID_DB
2018-2019,5b772c2811ef0d11038f265e,2019-01-12T00:00:00Z,ThompsonRivers@Winnipeg,Winnipeg Wesmen,Thompson Rivers University Wolfpack,W20190112WINTRU
2018-2019,5b772c2811ef0d11038f2662,2019-01-12T00:00:00Z,Alberta@BrandonUni,Brandon University Bobcats,Alberta Pandas,W20190112BRAALB
2018-2019,5b782df911ef0d1103390998,2019-01-11T23:00:00Z,QuebecMontreal@Laval,Laval University,University Quebec - Montreal,W20190111LAVUQA
2018-2019,5b7aab77aeda719939027d7b,2019-01-11T23:00:00Z,UniOttawa@Nipissing,Nipissing Lakers,Ottawa Gee-Gees,W20190111NIPOTT
2018-2019,5b7aab77aeda719939027d80,2019-01-11T23:00:00Z,Windsor@Lakehead,Lakehead University Thunderwolves,Windsor Lancers,W20190111LAKWIN
2018-2019,5b7aab77aeda719939027d85,2019-01-11T23:00:00Z,CarletonUni@Laurentian,Laurentian Voyageurs ,Carleton University Ravens,W20190111UNKCAR
2018-2019,5b7aadd0aeda71993918f4f4,2019-01-11T23:00:00Z,TorontoVarBlues@York(ONT),York (ONT) Lions,Toronto Varsity Blues,W20190111YORTOR
2018-2019,5b7aadd0aeda71993918f4fa,2019-01-11T23:00:00Z,Algoma@WesternOntario,Western Ontario Mustangs,Algoma Thunderbirds,W20190111WESALG
2018-2019,5b7aadd0aeda71993918f500,2019-01-11T23:00:00Z,McMaster@Guelph,Guelph Gryphons,McMaster Marauders,W20190111GUEMAC
2018-2019,5b7b788aaeda71993978aca2,2019-01-11T22:00:00Z,PrinceEdward@SaintMary's(CAN),Saint Mary's (CAN) Huskies,Prince Edward Island Panthers,W20190111SMUUPEI
2018-2019,5b7b788aaeda71993978aca7,2019-01-11T22:00:00Z,StFrancisXavier@Dalhousie,Dalhousie Tigers,St. Francis Xavier X-Men,W20190111DALUNK
2018-2019,5b7b788aaeda71993978acac,2019-01-11T22:00:00Z,CapeBreton@NewBrunswick,New Brunswick Varsity Reds,Cape Breton Capers,W20190111UNBCB
2018-2019,5b7aadd0aeda71993918f504,2019-01-11T05:00:00Z,RyersonUni@QueensOntario,Queens (ON) University Golden Gaels,Ryerson University Rams,W20190111QUEUNK
2018-2019,5b770b5a11ef0d110318525f,2019-01-10T23:00:00Z,Lethbridge@MountRoyal,Mount Royal Cougars ,Lethbridge Pronghorns,W20190110UNKLET
2018-2019,5b782df911ef0d1103390995,2019-01-10T23:00:00Z,Bishops@Concordia(QUE),Concordia (QUE) Stingers,Bishops Gaiters,W20190110CONBIS
2018-2019,5b7aab77aeda719939027d77,2019-01-10T00:00:00Z,Guelph@Waterloo,Waterloo Warriors,Guelph Gryphons,W20190110WATGUE
2018-2019,5b782df911ef0d1103390990,2019-01-09T23:00:00Z,Laval@QuebecMontreal,University Quebec - Montreal,Laval University,W20190109UQALAV
2018-2019,5b7aab77aeda719939027d73,2019-01-09T23:00:00Z,Brock@Laurier,Wilfrid Laurier,Brock Badgers,W20190109WLUBRO
2018-2019,5b7b788aaeda71993978ac9f,2019-01-09T22:00:00Z,Dalhousie@StFrancisXavier,St. Francis Xavier X-Men,Dalhousie Tigers,W20190109UNKDAL
2018-2019,5b7aab77aeda719939027d6a,2019-01-06T19:00:00Z,CarletonUni@TorontoVarBlues,Toronto Varsity Blues,Carleton University Ravens,W20190106TORCAR
2018-2019,5b7aab77aeda719939027d6f,2019-01-06T19:00:00Z,UniOttawa@RyersonUni,Ryerson University Rams,Ottawa Gee-Gees,W20190106UNKOTT
