Season,GameID,UTCDate,GameName,Team1_FullName,Team2_FullName,GameID_DB
2022-2023,64008b3240c90c050f104df1,2023-03-05T00:00:00Z,CarletonUni@OUA F - QueensOntario,Queens (ON) University Golden Gaels,Carleton University Ravens,W20230305QUECAR
2022-2023,6404b4806d20dc4a77f93064,2023-03-04T14:00:00Z,QuebecMontreal@Bishops,Bishops Gaiters,University Quebec - Montreal,W20230304BISUQA
2022-2023,63ecf4bd76cb1b2c6cd2ca92,2023-03-03T17:00:00Z,Alberta@Calgary,Calgary Dinos,Alberta Pandas,W20230303CALALB
2022-2023,6401b4d9ed4c9a91eea6f91b,2023-03-02T18:07:00Z,Concordia(QUE)@Bishops,Bishops Gaiters,Concordia (QUE) Stingers,W20230302BISCON
2022-2023,63fbcf7840c90c050f792c64,2023-03-01T20:00:00Z,Waterloo@QueensOntario,Queens (ON) University Golden Gaels,Waterloo Warriors,W20230301QUEWAT
2022-2023,63fbcf7840c90c050f792b73,2023-03-01T20:00:00Z,McMaster@CarletonUni,Carleton University Ravens,McMaster Marauders,W20230301CARMAC
2022-2023,63f35fb540c90c050fbd516f,2023-02-26T18:00:00Z,SaintMary's(CAN)@Acadia,Acadia Axewomen,Saint Mary's (CAN) Huskies,W20230226ACASMU
2022-2023,63f35fb540c90c050fbd510c,2023-02-25T23:30:00Z,PrinceEdward@SaintMary's(CAN),Saint Mary's (CAN) Huskies,Prince Edward Island Panthers,W20230225SMUUPEI
2022-2023,63f5127b40c90c050f462f87,2023-02-25T23:00:00Z,TorontoMetro@CarletonUni,Carleton University Ravens,Toronto Metropolitan University,W20230225CARTMU
2022-2023,63f5127b40c90c050f46309b,2023-02-25T23:00:00Z,Guelph@McMaster,McMaster Marauders,Guelph Gryphons,W20230225MACGUE
2022-2023,63f5127b40c90c050f463009,2023-02-25T23:00:00Z,UniOttawa@Waterloo,Waterloo Warriors,Ottawa Gee-Gees,W20230225WATOTT
2022-2023,63f5127a40c90c050f462f12,2023-02-25T23:00:00Z,Brock@QueensOntario,Queens (ON) University Golden Gaels,Brock Badgers,W20230225QUEBRO
2022-2023,63301c66e0927e69681fe837,2023-02-25T21:00:00Z,Laval@Concordia(QUE),Concordia (QUE) Stingers,Laval University,W20230225CONLAV
2022-2023,63316231e0927e696846f2c7,2023-02-25T19:00:00Z,McGill@QuebecMontreal,University Quebec - Montreal,McGill University Martlets,W20230225UQAMCG
